0.1,0.0
0.21,0.0
0.32,0.0
0.42,0.01
0.53,0.02
0.64,0.03
0.74,0.04
0.85,0.05
0.96,0.06
1.07,0.07
1.18,0.06
1.29,0.03
1.39,-0.01
1.49,-0.06
1.58,-0.13
1.66,-0.2
1.72,-0.27
1.78,-0.36
1.82,-0.45
1.86,-0.54
1.88,-0.64
1.89,-0.74
1.89,-0.85
1.87,-0.95
1.84,-1.06
1.8,-1.15
1.75,-1.24
1.7,-1.34
1.65,-1.43
1.61,-1.52
1.58,-1.62
1.55,-1.73
1.54,-1.83
1.55,-1.94
1.58,-2.04
1.64,-2.13
1.72,-2.21
1.8,-2.27
1.89,-2.33
1.99,-2.39
2.08,-2.44
2.17,-2.51
2.25,-2.57
2.31,-2.66
2.36,-2.75
2.41,-2.84
2.46,-2.93
2.52,-3.02
2.58,-3.12
2.65,-3.21
2.72,-3.28
2.79,-3.36
2.87,-3.44
2.93,-3.54
2.99,-3.62
3.05,-3.71
3.11,-3.8
